Comune,Provincia,Regione,Elenco pubblicato?,Numero beni trasferiti da Openregio,"Data di pubblicazione, se disponibile",Formato di pubblicazione,"Sono indicati foglio, particella e subpartice","Tipologia dell'immobile È indicato, per ogni bene, se si tratta di un terreno, una villa, un appartamento, un box, un fabbricato rurale ecc.?",Ubicazione È indicato l'indirizzo e il numero civico di ogni bene?, È indicata la consistenza del bene in mq o in ettari?,È specificata quale sia la destinazione del bene tra istituzionale e sociale?,Utilizzazione 1 - È specificato se il bene è già riutilizzato?,Utilizzazione 2 - È indicato l'utilizzo specifico?,È indicata la ragione sociale specifica del soggetto gestore?, È inserito un riferimento all'atto amministrativo di concessione?,È indicato l'oggetto dell'atto di concessione?, È specificata la durata dell'affidamento al concessionario?, Nome Province,Provincia Estesa,Latitudine Provincia,Longitudine Provincia
NORMA,LT,Lazio,si,2,2020-10-13,Pdf - Immagine,si,si,si,no,si,si,si,si,no,no,no,LT,Latina,41.4667,12.8833
PONTINIA,LT,Lazio,si,8,2020-10-13,Pdf - Ricercabile,si,si,no,si,no,no,si,si,no,no,si,LT,Latina,41.4667,12.8833
PRIVERNO,LT,Lazio,si,6,2020-10-13,Pdf - Ricercabile,si,si,no,si,no,no,no,no,no,no,no,LT,Latina,41.4667,12.8833
SABAUDIA,LT,Lazio,si,48,2020-10-16,Pdf - Ricercabile,si,si,si,no,si,si,si,no,si,no,no,LT,Latina,41.4667,12.8833
SAN FELICE CIRCEO,LT,Lazio,no,5,,,no,no,no,no,no,no,no,no,no,no,no,LT,Latina,41.4667,12.8833
SERMONETA,LT,Lazio,no,1,,,no,no,no,no,no,no,no,no,no,no,no,LT,Latina,41.4667,12.8833
SPIGNO SATURNIA,LT,Lazio,si,2,2020-10-16,Xml,si,si,si,no,no,si,no,si,no,no,no,LT,Latina,41.4667,12.8833
TERRACINA,LT,Lazio,si,12,2020-10-16,Tabella online non scaricabile,si,si,si,no,si,no,si,si,no,no,no,LT,Latina,41.4667,12.8833
ANTRODOCO,RI,Lazio,no,2,,,no,no,no,no,no,no,no,no,no,no,no,RI,Rieti,42.3667,12.8667
POSTA,RI,Lazio,si,5,2020-10-31,Pdf - Ricercabile,si,si,no,si,no,si,si,no,no,no,no,RI,Rieti,42.3667,12.8667
ALBANO LAZIALE,RM,Lazio,si,2,,Pdf - Immagine,si,si,si,si,no,si,no,no,si,no,no,RM,Roma,41.9,12.4833
ANZIO,RM,Lazio,si,10,2020-10-29,Xls,si,si,si,no,si,si,no,si,no,no,no,RM,Roma,41.9,12.4833
ARDEA,RM,Lazio,si,10,2020-10-29,Pdf - Immagine,si,si,si,no,si,si,no,no,no,no,no,RM,Roma,41.9,12.4833
ARICCIA,RM,Lazio,no,1,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
ARTENA,RM,Lazio,no,2,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
CAPENA,RM,Lazio,si,2,2018-07-19,Pdf - Ricercabile,si,si,si,no,si,no,no,no,si,si,no,RM,Roma,41.9,12.4833
CASTEL GANDOLFO,RM,Lazio,si,1,2019-12-17,Xml,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
CAVE,RM,Lazio,no,2,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
CERVETERI,RM,Lazio,si,5,2018-01-10,,si,si,si,no,si,si,si,no,no,no,no,RM,Roma,41.9,12.4833
CIAMPINO,RM,Lazio,si,7,2019-12-31,Pdf - Ricercabile,si,si,si,si,si,si,si,no,no,no,no,RM,Roma,41.9,12.4833
FIANO ROMANO,RM,Lazio,no,1,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
FIUMICINO,RM,Lazio,no,3,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
FONTE NUOVA,RM,Lazio,no,1,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
FORMELLO,RM,Lazio,si,3,2018-01-15,,si,no,si,no,no,si,no,si,no,no,no,RM,Roma,41.9,12.4833
FRASCATI,RM,Lazio,si,4,2018-01-24,Xls,si,si,si,si,si,si,si,si,si,si,si,RM,Roma,41.9,12.4833
GENZANO DI ROMA,RM,Lazio,no,1,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
GROTTAFERRATA,RM,Lazio,si,12,2020-08-18,Pdf - Ricercabile,si,si,si,si,si,si,si,si,no,no,no,RM,Roma,41.9,12.4833
GUIDONIA MONTECELIO,RM,Lazio,si,3,2019-03-28,Pdf - Ricercabile,si,si,si,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
LADISPOLI,RM,Lazio,no,8,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
LARIANO,RM,Lazio,no,1,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
MARINO,RM,Lazio,si,14,2019-12-30,Pdf - Ricercabile,si,si,si,si,no,si,si,si,si,si,si,RM,Roma,41.9,12.4833
MENTANA,RM,Lazio,no,2,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
MONTE COMPATRI,RM,Lazio,no,2,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
MONTEROTONDO,RM,Lazio,si,12,2018-01-05,Pdf - Ricercabile,si,si,si,si,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
NETTUNO,RM,Lazio,si,4,2020-05-25,Pdf - Ricercabile,si,si,si,no,no,si,no,no,no,no,no,RM,Roma,41.9,12.4833
POMEZIA,RM,Lazio,si,29,2018-01-22,Pdf - Ricercabile,no,no,no,no,si,si,no,no,si,si,si,RM,Roma,41.9,12.4833
RIGNANO FLAMINIO,RM,Lazio,si,3,2018-02-06,Pdf - Ricercabile,si,si,si,si,si,si,si,si,no,no,no,RM,Roma,41.9,12.4833
ROCCA PRIORA,RM,Lazio,no,3,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
ROMA,RM,Lazio,si,283,2020-07-23,Ods,si,si,si,si,si,si,si,si,si,no,no,RM,Roma,41.9,12.4833
SACROFANO,RM,Lazio,no,8,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
SANTA MARINELLA,RM,Lazio,no,4,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
SANT'ORESTE,RM,Lazio,no,1,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
TIVOLI,RM,Lazio,no,9,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
VALLEPIETRA,RM,Lazio,no,1,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
VALMONTONE,RM,Lazio,si,5,2017-12-22,Pdf - Ricercabile,si,si,si,si,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
VELLETRI,RM,Lazio,no,10,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
ZAGAROLO,RM,Lazio,no,1,,,no,no,no,no,no,no,no,no,no,no,no,RM,Roma,41.9,12.4833
FABRICA DI ROMA,VT,Lazio,no,10,,,no,no,no,no,no,no,no,no,no,no,no,VT,Viterbo,42.55,12.1167
GALLESE,VT,Lazio,si,2,2020-06-01,Pdf - Ricercabile,si,si,si,si,si,no,si,si,si,no,no,VT,Viterbo,42.55,12.1167
MONTEFIASCONE,VT,Lazio,no,1,,,no,no,no,no,no,no,no,no,no,no,no,VT,Viterbo,42.55,12.1167
NEPI,VT,Lazio,no,2,,,no,no,no,no,no,no,no,no,no,no,no,VT,Viterbo,42.55,12.1167
TARQUINIA,VT,Lazio,si,12,2019-01-26,Pdf - Ricercabile,si,si,no,si,no,no,no,no,no,no,no,VT,Viterbo,42.55,12.1167
VITERBO,VT,Lazio,no,3,,,no,no,no,no,no,no,no,no,no,no,no,VT,Viterbo,42.55,12.1167
BOGLIASCO,GE,Liguria,no,2,,,no,no,no,no,no,no,no,no,no,no,no,GE,Genova,44.4167,8.9167
CAMPOMORONE,GE,Liguria,no,3,,,no,no,no,no,no,no,no,no,no,no,no,GE,Genova,44.4167,8.9167
GENOVA,GE,Liguria,si,65,2020-06-02,Pdf - Ricercabile,si,si,si,si,si,si,si,si,si,no,si,GE,Genova,44.4167,8.9167
RAPALLO,GE,Liguria,si,2,,Pdf - Ricercabile,si,si,si,no,si,si,no,no,no,no,no,GE,Genova,44.4167,8.9167
PERINALDO,IM,Liguria,no,1,,,no,no,no,no,no,no,no,no,no,no,no,IM,Imperia,43.8833,8.0167
SANREMO,IM,Liguria,si,2,2019-11-11,Pdf - Ricercabile,si,si,si,si,si,no,no,no,si,no,no,IM,Imperia,43.8833,8.0167
AMEGLIA,SP,Liguria,no,3,,,no,no,no,no,no,no,no,no,no,no,no,SP,La Spezia,44.1167,9.8333
ARCOLA,SP,Liguria,si,1,2019-02-04,Immagine,si,no,si,si,si,si,si,no,no,no,no,SP,La Spezia,44.1167,9.8333
BOLANO,SP,Liguria,no,1,,,no,no,no,no,no,no,no,no,no,no,no,SP,La Spezia,44.1167,9.8333
LA SPEZIA,SP,Liguria,si,4,2019-06-02,Pdf - Ricercabile,si,si,si,si,si,si,no,si,si,si,no,SP,La Spezia,44.1167,9.8333
SARZANA,SP,Liguria,no,8,,,no,no,no,no,no,no,no,no,no,no,no,SP,La Spezia,44.1167,9.8333
SPOTORNO,SV,Liguria,no,20,,,no,no,no,no,no,no,no,no,no,no,no,SV,Savona,44.3167,8.4667
VILLANOVA D'ALBENGA,SV,Liguria,si,2,2019-03-07,Pdf - Ricercabile,si,si,no,si,si,no,si,no,si,no,no,SV,Savona,44.3167,8.4667
ALZANO LOMBARDO,BG,Lombardia,si,2,,Pdf - Ricercabile,si,si,si,si,si,si,si,si,si,si,si,BG,Bergamo,45.7,9.6667
BERBENNO,BG,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,BG,Bergamo,45.7,9.6667
BREMBATE,BG,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BG,Bergamo,45.7,9.6667
CORNALBA,BG,Lombardia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,BG,Bergamo,45.7,9.6667
DALMINE,BG,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,BG,Bergamo,45.7,9.6667
FOPPOLO,BG,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,BG,Bergamo,45.7,9.6667
GORLAGO,BG,Lombardia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,BG,Bergamo,45.7,9.6667
LOVERE,BG,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BG,Bergamo,45.7,9.6667
SARNICO,BG,Lombardia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,BG,Bergamo,45.7,9.6667
SERIATE,BG,Lombardia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,BG,Bergamo,45.7,9.6667
SUISIO,BG,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,BG,Bergamo,45.7,9.6667
TERNO D'ISOLA,BG,Lombardia,si,2,2017-10-01,Pdf - Immagine,no,si,si,no,si,si,si,si,no,no,si,BG,Bergamo,45.7,9.6667
TORRE DE' BUSI,BG,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BG,Bergamo,45.7,9.6667
BOVEGNO,BS,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
BRENO,BS,Lombardia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
BRESCIA,BS,Lombardia,si,24,2020-10-30,,si,si,si,si,si,si,si,no,no,no,no,BS,Brescia,44.5333,10.2
CAINO,BS,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
CAPRIANO DEL COLLE,BS,Lombardia,si,2,,Pdf - Ricercabile,si,si,si,si,no,no,si,no,no,no,no,BS,Brescia,44.5333,10.2
CASTEL MELLA,BS,Lombardia,si,4,2020-10-30,Pdf - Ricercabile,si,si,si,si,no,no,si,si,no,si,si,BS,Brescia,44.5333,10.2
CASTENEDOLO,BS,Lombardia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
CELLATICA,BS,Lombardia,si,1,2020-10-30,,si,si,si,no,si,si,si,si,no,no,si,BS,Brescia,44.5333,10.2
CHIARI,BS,Lombardia,no,10,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
CONCESIO,BS,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
CORTE FRANCA,BS,Lombardia,si,2,2020-10-30,Pdf - Ricercabile,si,si,si,si,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
DESENZANO DEL GARDA,BS,Lombardia,si,6,2020-10-30,Pdf - Ricercabile,si,si,si,si,no,no,si,no,no,no,no,BS,Brescia,44.5333,10.2
FLERO,BS,Lombardia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
GIANICO,BS,Lombardia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
ISEO,BS,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
LONATO DEL GARDA,BS,Lombardia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
LUMEZZANE,BS,Lombardia,si,3,2020-10-31,Pdf - Ricercabile,si,si,si,si,si,si,si,si,no,no,no,BS,Brescia,44.5333,10.2
MANERBA DEL GARDA,BS,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
NUVOLERA,BS,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
OSPITALETTO,BS,Lombardia,si,1,2018-01-22,Pdf - Immagine,no,si,si,no,si,si,no,si,no,no,si,BS,Brescia,44.5333,10.2
PADENGHE SUL GARDA,BS,Lombardia,si,2,2020-10-31,Pdf - Ricercabile,si,si,si,no,si,no,si,no,si,no,no,BS,Brescia,44.5333,10.2
PASPARDO,BS,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
PASSIRANO,BS,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
PEZZAZE,BS,Lombardia,si,6,2020-10-31,Tabella online non scaricabile,si,si,no,no,no,no,si,no,no,no,no,BS,Brescia,44.5333,10.2
PONCARALE,BS,Lombardia,si,2,2020-10-31,Pdf - Immagine,si,si,si,si,si,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
PONTOGLIO,BS,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
REZZATO,BS,Lombardia,si,1,2020-10-31,Immagine,si,si,si,si,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
RONCADELLE,BS,Lombardia,si,8,,Pdf - Immagine,si,si,si,si,si,no,si,si,si,no,si,BS,Brescia,44.5333,10.2
SELLERO,BS,Lombardia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
SOIANO DEL LAGO,BS,Lombardia,si,3,2020-11-01,Pdf - Ricercabile,si,si,si,si,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
TOSCOLANO-MADERNO,BS,Lombardia,si,2,2020-11-01,Pdf - Immagine,si,si,si,si,no,no,no,no,no,no,no,BS,Brescia,44.5333,10.2
VILLA CARCINA,BS,Lombardia,si,2,,Pdf - Ricercabile,si,si,si,si,no,no,si,no,no,no,no,BS,Brescia,44.5333,10.2
CABIATE,CO,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,CO,Como,45.8,9.0833
CAMPIONE D'ITALIA,CO,Lombardia,si,5,,Pdf - Ricercabile,si,si,si,no,no,si,si,si,si,no,no,CO,Como,45.8,9.0833
CANZO,CO,Lombardia,si,1,2019-08-27,Pdf - Ricercabile,si,si,si,no,si,si,si,si,si,si,si,CO,Como,45.8,9.0833
CARUGO,CO,Lombardia,si,2,,Xml,si,si,si,no,no,si,no,no,no,no,no,CO,Como,45.8,9.0833
CASLINO D'ERBA,CO,Lombardia,si,2,2020-10-19,Pdf - Ricercabile,si,si,no,no,no,no,no,no,no,no,no,CO,Como,45.8,9.0833
CERMENATE,CO,Lombardia,si,2,2019-07-08,Ods,si,si,si,no,no,no,si,no,no,no,no,CO,Como,45.8,9.0833
COMO,CO,Lombardia,si,2,,Tabella online non scaricabile,si,si,si,si,si,si,si,no,no,si,no,CO,Como,45.8,9.0833
ERBA,CO,Lombardia,si,6,2017-03-28,Doc,no,no,si,no,si,si,si,si,no,no,si,CO,Como,45.8,9.0833
FINO MORNASCO,CO,Lombardia,si,5,2018-04-05,Pdf - Ricercabile,no,si,si,si,no,no,si,si,no,si,si,CO,Como,45.8,9.0833
LIPOMO,CO,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CO,Como,45.8,9.0833
LURAGO D'ERBA,CO,Lombardia,si,2,2019-04-17,Pdf - Immagine,no,si,si,si,no,si,si,si,si,si,si,CO,Como,45.8,9.0833
MARIANO COMENSE,CO,Lombardia,si,5,2019-04-16,Pdf - Ricercabile,si,si,si,si,no,no,no,no,no,no,no,CO,Como,45.8,9.0833
TAVERNERIO,CO,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CO,Como,45.8,9.0833
DOVERA,CR,Lombardia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,CR,Cremona,45.1333,10.0333
SPINO D'ADDA,CR,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,CR,Cremona,45.1333,10.0333
TRESCORE CREMASCO,CR,Lombardia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,CR,Cremona,45.1333,10.0333
AIRUNO,LC,Lombardia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,LC,Lecco,45.85,9.3833
BALLABIO,LC,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,LC,Lecco,45.85,9.3833
CESANA BRIANZA,LC,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,LC,Lecco,45.85,9.3833
COLICO,LC,Lombardia,no,6,,,no,no,no,no,no,no,no,no,no,no,no,LC,Lecco,45.85,9.3833
COSTA MASNAGA,LC,Lombardia,si,7,,Pdf - Immagine,si,si,si,si,si,si,si,si,no,no,no,LC,Lecco,45.85,9.3833
GALBIATE,LC,Lombardia,si,2,,Pdf - Ricercabile,si,si,no,si,si,si,si,si,si,si,si,LC,Lecco,45.85,9.3833
LECCO,LC,Lombardia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,LC,Lecco,45.85,9.3833
OLGINATE,LC,Lombardia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,LC,Lecco,45.85,9.3833
VALMADRERA,LC,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,LC,Lecco,45.85,9.3833
BREMBIO,LO,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,LO,Lodi,45.3167,9.5
CASALMAIOCCO,LO,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,LO,Lodi,45.3167,9.5
SANT'ANGELO LODIGIANO,LO,Lombardia,si,1,2020-09-25,Pdf - Ricercabile,si,si,si,no,si,si,si,si,no,si,no,LO,Lodi,45.3167,9.5
ALBAIRATE,MI,Lombardia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
ASSAGO,MI,Lombardia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
BAREGGIO,MI,Lombardia,si,5,2020-01-01,Pdf - Ricercabile,no,si,si,no,si,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
BELLINZAGO LOMBARDO,MI,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
BERNATE TICINO,MI,Lombardia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
BOLLATE,MI,Lombardia,si,8,2016-07-25,Pdf - Immagine,si,si,si,si,si,si,no,no,si,si,si,MI,Milano,45.4667,9.1833
BUCCINASCO,MI,Lombardia,si,24,2019-03-26,Pdf - Ricercabile,no,si,si,si,si,si,si,si,si,si,si,MI,Milano,45.4667,9.1833
CALVIGNASCO,MI,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
CAMBIAGO,MI,Lombardia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
CARUGATE,MI,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
CASARILE,MI,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
CESANO BOSCONE,MI,Lombardia,no,21,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
CINISELLO BALSAMO,MI,Lombardia,no,20,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
COLOGNO MONZESE,MI,Lombardia,no,9,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
CORMANO,MI,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
CORNAREDO,MI,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
CORSICO,MI,Lombardia,si,14,2020-10-01,Pdf - Ricercabile,si,si,si,si,no,si,si,no,no,si,no,MI,Milano,45.4667,9.1833
CUGGIONO,MI,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
CUSAGO,MI,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
DAIRAGO,MI,Lombardia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
GAGGIANO,MI,Lombardia,no,7,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
GARBAGNATE MILANESE,MI,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
GESSATE,MI,Lombardia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
INVERUNO,MI,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
LAINATE,MI,Lombardia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
LEGNANO,MI,Lombardia,si,13,2020-10-20,Pdf - Ricercabile,si,no,si,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
LISCATE,MI,Lombardia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
MAGENTA,MI,Lombardia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,MI,Milano,45.4667,9.1833
